Suffix,City,Inhabitant_term,Country
wi,Al Qunaytirah, Qunayt­irawi,Syria
ense,Riccione Marina,Riccionese,Italy
ian,Huntington,Huntingtonian,United States
n,Nibria,Nibrian,India
i,Benetuser,Benetussi,Spain
ian,Port Chester,Port Chesterian,United States
esi,Garbagnate,Garbagnatesi,Italy
karan,Karunagapalli,Karunagapallikkaran,India
an,Bailleston,Bailliestonian,United Kingdom
ense,Oxkutzkab,Oxkutzcabense,Mexico
enc,Vilasar,Vilassarenc,Spain
er,Melrose Park,Melrose Parker,United States
ois,Coudekerque,Coudekerquois ,France
er,Blue Island,Blue Islander,United States
esi,Trentola,Trentolesi,Italy
ense,Hidalgo,Hidalguense,Mexico
enc,Malgrat,Malgratenc,Spain
ense,El Astillero,Astillerense,Spain
ense,Pureparo de Echaiz,Pureperense,Mexico
enc,Arenys de Mar,Arenyenc,Spain
i,Balaungi,Balaungiri,India
enc,Canet de Mar,Canetenc,Spain
ian,Milford,Milfordian,United Kingdom
esi,Monte di Procida,Montesi,Italy
i,Bahagalpur,Bhagalpuri,India
ese,Bijelo Polje,Belopoljese,Montenegro
vi,Patalia,Patialvi,India
ense,Cuencame de Ceniceros,Cuencamense,Mexico
ense,Malvinas,malvinense,Argentina
wasi,Mithila,Mithilawasi,India
er,Flower Hill,Flower Hiller,United States
eano,San Luis de La Loma,sanluiseano,Mexico
ci,Novi Becej,novobejci,Serbia
i,Rampur,Rampuri,India
ian,Pierre-Benite,Pierre-Benitain,France
esi,San Marzano,Sanmarzanesi,Italy
ian,North Merrick,North Merokian,United States
i,Gangapur,Ganagapuri,India
esi,Torre Boldone,Torreboldonesi,Italy
ian,Northbrook,Northbrookian,United States
enc,La Massana,massanenc,Andorra
i,Mqabba,Mqabbi ,Malta
ense,Porto Ingles,Portuense,Cabo Verde
eano,Las Rozas de Madrid,roceano,Spain
ense,Abreu e Lima,Abreu-limense,Brazil
ini,La Spezia,Spezzini,Italy
ense,La Grita,Gritense,Venezuela
ian,Rapid City,Rapid Citian,United States
ense,El Ejido,Ejidense,Spain
i,Khowrasgan,Khorasani,Iran
ense,La Dorada,Doradense,Colombia
ense,Para de Minas,Paraminense[3],Brazil
ense,Los Patios,Patiense,Colombia
ense,Villa Maria,villamariense,Argentina
in,Pagbilao,Pagbilawin,Philippines
ense,Pato Branco,pato-branquense,Brazil
on,Pototan,Pototanon,Philippines
ense,Santo Angelo,Santo-Angelense,Brazil
ino,Padre Hurtado,Padrehurtadino,Chile
eano,Ciudad Real,Ciudadrealeano,Spain
ense,Belo Jardim,Belo-jardinense,Brazil
ino,Juana Diaz,Juanadinos,Puerto Rico
eano,Sanlucar de Barrameda,sanluqueano,Spain
karan,Koyilandi,Koyilandikaran,India
ense,Bom Jesus da Lapa,Lapense,Brazil
i,Mansehra,Mansehri,Pakistan
eano,Cuyapo,Cuyapeano,Philippines
n,Yorba Linda,Yorba Lindan,United States
ite,Eagan,Eaganite,United States
ian,Porterville,Portervillian,United States
ian,Etawa,Etawian,India
eano,La Carlota,Carloteano,Philippines
naar,Zeist,Zeistenaar,Netherlands
eano,San Gil,Sangileano,Colombia
an,Ferrol,ferrolan ,Spain
n,Isabela,Isabelan,Philippines
ian,Dhuburi,Dhubrian,India
esi,Crotone,Crotonesi,Italy
aner,Randers,Randrusianer,Denmark
kar,Washim,Washimkar,India
eano,Bansalan,Bansaleano,Philippines
an,Chidambaram,Chidambaran,India
ense,Cruz Alta,cruz-altense,Brazil
ian,Widnes,Widnesian,United Kingdom
ian,Reston,Restonian,United States
ense,Tefe,tefeense,Brazil
er,Kolding,Koldinger,Denmark
eano,Candon,Candoneano,Philippines
ais,Montauban,Montalbanais,France
on,Cabatuan,Cabatuanon,Philippines
esi,Fano,Fanesi,Italy
ian,Panruti,Panrutian,India
ani,Acerra,Acerrani,Italy
ano,Villamaria,Villamariano,Colombia
ani,Benevento,Beneventani,Italy
ense,Camocim,Camocinense,Brazil
ense,Uriangato,Uriangatense,Mexico
an,Alcoy,Alcoyan,Spain
eano,Motril,Motrileano,Spain
i,Zahirabad,Zahirabadi,India
kar,Wani,Wanikar,India
er,Doetinchem,Doetinchemmer,Netherlands
ni,Cerignola,Cerignolani,Italy
eano,Lambayeque,Lambayecano,Peru
ano,Pradera,Praderano,Colombia
enaar,Roermond,Roermondenaar,Netherlands
ese,Kawthoung,Kawthaunggese,Myanmar
ense,Ciudad Cuauhtemoc,Cuauhtemense,Mexico
eano,Monte Plata,Monteplateano,Dominican Republic
ense,Coruripe,Coruripense,Brazil
ense,Andradina,andradinense,Brazil
ni,Manfredonia,Manfredoniani,Italy
ense,Puerto Boyaca,Puertoboyacense,Colombia
naar,Helder,Heldernaar,Netherlands
wasi,Ayodhya,Ayodhyawasi,India
esi,Trani,Tranesi,Italy
an,Belampalli,bellampallian,India
er,Tinley Park,Tinley Parker,United States
ais,Narbonne,Narbonnais,France
in,Mulanay,Mulanayin,Philippines
esi,San Remo,Sanremesi,Italy
ense,Barbalha,Barbalhense,Brazil
ni,Modica,Modicani,Italy
ani,Teramo,Teramani,Italy
eano,Tarma,Tarmeano,Peru
ese,Avellino,Avellinese,Italy
ano,Tres Pontas,Trespontano,Brazil
eano,Pasacao,Pasaqueano,Philippines
ense,Elda,Eldense,Spain
anon,Guiuan,Guiuananon,Philippines
ni,Velletri,Veliterni,Italy
an,Novato,Novatan,United States
esi,San Severo,Sanseveresi,Italy
an,Edina,Edinan,United States
er,Alesund,Alesunder,Norway
on,Naguilian,Naguilianon,Philippines
ense,Torrelavega,Torrelaveguense,Spain
ois,Belle-Anse,Belle-Ansois,Haiti
ense,Campo Belo,Campo-belense,Brazil
ini,Rovigo,Rodigini,Italy
esi,Scandicci,Scandiccesi,Italy
i,Tadmur,Tadmuri,Syria
ian,Sibsagar,Sivsagarian,India
ano,La Calera,Calerano,Chile
anon,Donsol,Donsolanon,Philippines
esi,Nettuno,Nettunesi,Italy
er,Weert,Weerter,Netherlands
ense,Alta Floresta,altaflorestense,Brazil
tani,Monopoli,Monopolitani,Italy
ense,Huaquillas,Huaquillense,Ecuador
ian,Poway,Powegian,United States
ian,Cedar Hill,Cedarhillian,United States
eano,Sanare,Sanareano,Venezuela
tano,Prudentopolis,prudentopolitano,Brazil
ite,Bokaro,Bokaroite,India
ini,Corato,Coratini,Italy
ense,Diamantina,Diamantinense,Brazil
nes,Penco,Pencones,Chile
ses,Aquidauana,Aquidauanses,Brazil
eano,Albuera,Albuereano,Philippines
an,San Luis Obispo,San Luis Obispan,United States
er,Aland,Ålander,India
Alzira",Alziran,Spain
ite,Haltom,Haltomite,United States
esi,Alcamo,Alcamesi,Italy
ian,Sainthia,Sainthian,India
ese,Biella,Biellese,Italy
ing,Lorenskog,Lorenskoging,Norway
er,Noordwijk,Noordwijker,Netherlands
i,Ellenabad,Ellenabadi,India
an,Tongoma,Tongan,Sierra Leone
ian,Svishtov,Svishtovian,Bulgaria
in,Guinayangan,Guinayanganin,Philippines
ense,Xanxere,Xanxerense,Brazil
an,Lompoc,Lompocan,United States
ino,Limache,Limachino,Chile
er,Venray,Venrayenaar,Netherlands
esi,Casale,Casalesi,Haiti
i,Mahbubabad,Mahabubabadi,India
esi,Civitanova,Civitanovesi,Italy
ense,Cumaribo,cumaribense,Colombia
ano,Entre Rios,entrerriano,Brazil
ano,VeraCruz,Veracruzano,Brazil
esi,Avezzano,Avezzanesi,Italy
esi,Imperia,Imperiesi,Italy
i,Maulavi Bazar,Moulvi bazari,Bangladesh
ite,West Vancouver,West Vancouverite,Canada
eano,Puerto Real,Puertorrealeano,Spain
ian,Golaghat,Golaghatian,India
ense,Jardinopolis,jardinopolense,Brazil
ini,Cantu,Canturini,Italy
ner,Fredericia,Fredericianer,Denmark
eano,Guaduas,guadeano,Colombia
ani,Marcianise,Marcianisani,Italy
i,Abadan,Abadani,Turkmenistan
an,Kilakkarai,Kilakaraian,India
ino,Cauquenes,Cauquenino,Chile
tani,Eboli,Ebolitani,Italy
iya,Hailakandi,Hailakandiya,India
ois,Draguignan,Dracenois,France
ense,Tarauaca,tarauacaense,Brazil
esi,Fasano,Fasanesi,Italy
ero,La Rinconada,Rinconero,Spain
tino,Plasencia,Placentino,Spain
kar,Tasgaon,Tasgaonkar,India
kar,Purna,Purnakar,India
kar,Risod,Risodkar,India
karan,Tiruchendur,Tiruchendoorkaran,India
iya,Kareli,Kareliya,India
kar,Satana,Satanakar,India
an,Kangayam,Kangeyan,India
i,Dinanagar,Dinanagari,India
wasi,Areraj,Arerajwasi,India
ian,Vadippatti,Vadipattian,India
i,Afzalpur,Afzalpuri,India
kar,Taloda,Talodekar,India
ian,Mangaldai,Mangaldaian,India
vi,Baheri,Bahervi,India
ian,Jevargi,Jevargian,India
an,Palakodu,Palakkadan,India
ian,Muttupet,Muthupettaiyan,India
i,Barhampur,Berhampuri,India
ian,Parasi,Parasian,India
kar,Narayankhed,Narayankhedkar,India
iya,Kanpur,Kanpuriya,India
i,Gandarbal,Ganderbali,India
ian,Vennandur,Vennandurian,India
ian,Manthani,Manthanian,India
ian,Dirba,Dirbian,India
karan,Mudukulattur,Mudukulatturkaran,India
karan,Attur,Atturkaran,India
ian,Belari,Ballarians,India
ian,Yelur,Yelurian,India
iya,Phulwar,Phulwariya,India
i,Badarpur,Badarpuri ,India
ian,Putaparti,Puttaparthian,India
karan,Terkuvenganallur,Terkuvenganallurkaran,India
kar,Siolim,Siolkar,India
i,Bijaipur,Bijapuri,India
i,Bhadarwah,Bhaderwahi,India
kar,Pitlam,Pitlamkar,India
ean,Mangalapuram,Mangalpurean,India
i,Mansapur,Manaspuri,India
ian,Ratnapuram,Ratnapurian,India
iya,Sathmalpur,Sambalpuriya,India
ar,Peraiyur,Peraiyurar,India
ian,Puduvayal,Puduvayalian,India
iya,Gidhaura,Gidhauriya,India
kar,Manne Ekeli,Mannaekhallikar,India
ian,Kirippatti,Kirippattian,India
i,Shamshernagar,Shamshernagari,India
karan,Sindalakkundu,Sindalakkundukaran,India
ite,Mulug,Mulugite,India
i,Laxmipur,Laxmipuri,India
i,Jagannathpur,Jagannathpuri,India
kar,Darwa,Darwhakar,India
kar,Ghogaon,Ghogaonkar,India
kar,Kawadgaon,Kaudgaonkar,India
kar,Walur,Walurkar,India
vi,Potukonda,Potukondavi,India
karan,Kanur,Kannurkaran,India
ian,Dibraghani,Dibrugarhian,India
an,Kannamangalam,Kannamangalan,India
ian,Halgur,Halagurian,India
iya,Dholbaja,Dholbajiya,India
i,Golakpur,Gorakhpuri,India
i,Kharial,Khariali,India
ian,Baghduma,Baghdumian,India
i,Nisarpur,Nishapuri,India
i,Bhagatpur,Bhagatpuri,India
ite,Unao,Unnaoite,India
iya,Chhapera,Chaprahiya,India
i,Dharhwad,Dharwadi,India
ean,Maddur,Maddurean,India
kar,Ghat Borul,Ghatboralkar,India
an,Malangam,Malangan,India
ian,Navipet,Navipetian,India
ian,Belhatti,Belhattian,India
ite,Malaimarpuram,Malappuramite,India
